,indicator,date,rate
0,open,2022-03-04 16:55:00,26.31
1,high,2022-03-04 16:55:00,26.31
2,low,2022-03-04 16:55:00,26.02
3,close,2022-03-04 16:55:00,26.12
5,open,2022-03-04 16:10:00,26.35
6,high,2022-03-04 16:10:00,26.35
7,low,2022-03-04 16:10:00,26.35
8,close,2022-03-04 16:10:00,26.35
10,open,2022-03-04 16:02:00,26.44
11,high,2022-03-04 16:02:00,26.44
12,low,2022-03-04 16:02:00,26.44
13,close,2022-03-04 16:02:00,26.44
15,open,2022-03-04 16:01:00,26.33
16,high,2022-03-04 16:01:00,26.44
17,low,2022-03-04 16:01:00,26.33
18,close,2022-03-04 16:01:00,26.33
20,open,2022-03-04 16:00:00,26.3399
21,high,2022-03-04 16:00:00,26.34
22,low,2022-03-04 16:00:00,26.29
23,close,2022-03-04 16:00:00,26.31
25,open,2022-03-04 15:59:00,26.355
26,high,2022-03-04 15:59:00,26.36
27,low,2022-03-04 15:59:00,26.33
28,close,2022-03-04 15:59:00,26.33
30,open,2022-03-04 15:58:00,26.34
31,high,2022-03-04 15:58:00,26.36
32,low,2022-03-04 15:58:00,26.34
33,close,2022-03-04 15:58:00,26.355
35,open,2022-03-04 15:57:00,26.33
36,high,2022-03-04 15:57:00,26.35
37,low,2022-03-04 15:57:00,26.32
38,close,2022-03-04 15:57:00,26.345
40,open,2022-03-04 15:56:00,26.33
41,high,2022-03-04 15:56:00,26.35
42,low,2022-03-04 15:56:00,26.32
43,close,2022-03-04 15:56:00,26.33
45,open,2022-03-04 15:55:00,26.315
46,high,2022-03-04 15:55:00,26.34
47,low,2022-03-04 15:55:00,26.3
48,close,2022-03-04 15:55:00,26.33
50,open,2022-03-04 15:54:00,26.27
51,high,2022-03-04 15:54:00,26.32
52,low,2022-03-04 15:54:00,26.27
53,close,2022-03-04 15:54:00,26.3
55,open,2022-03-04 15:53:00,26.27
56,high,2022-03-04 15:53:00,26.29
57,low,2022-03-04 15:53:00,26.26
58,close,2022-03-04 15:53:00,26.28
60,open,2022-03-04 15:52:00,26.21
61,high,2022-03-04 15:52:00,26.28
62,low,2022-03-04 15:52:00,26.21
63,close,2022-03-04 15:52:00,26.28
65,open,2022-03-04 15:51:00,26.17
66,high,2022-03-04 15:51:00,26.23
67,low,2022-03-04 15:51:00,26.17
68,close,2022-03-04 15:51:00,26.23
70,open,2022-03-04 15:50:00,26.17
71,high,2022-03-04 15:50:00,26.18
72,low,2022-03-04 15:50:00,26.16
73,close,2022-03-04 15:50:00,26.175
75,open,2022-03-04 15:49:00,26.158
76,high,2022-03-04 15:49:00,26.19
77,low,2022-03-04 15:49:00,26.155
78,close,2022-03-04 15:49:00,26.17
80,open,2022-03-04 15:48:00,26.2
81,high,2022-03-04 15:48:00,26.21
82,low,2022-03-04 15:48:00,26.16
83,close,2022-03-04 15:48:00,26.16
85,open,2022-03-04 15:47:00,26.165
86,high,2022-03-04 15:47:00,26.19
87,low,2022-03-04 15:47:00,26.16
88,close,2022-03-04 15:47:00,26.19
90,open,2022-03-04 15:46:00,26.13
91,high,2022-03-04 15:46:00,26.17
92,low,2022-03-04 15:46:00,26.13
93,close,2022-03-04 15:46:00,26.165
95,open,2022-03-04 15:45:00,26.135
96,high,2022-03-04 15:45:00,26.149
97,low,2022-03-04 15:45:00,26.13
98,close,2022-03-04 15:45:00,26.13
100,open,2022-03-04 15:44:00,26.09
101,high,2022-03-04 15:44:00,26.14
102,low,2022-03-04 15:44:00,26.09
103,close,2022-03-04 15:44:00,26.135
105,open,2022-03-04 15:43:00,26.1
106,high,2022-03-04 15:43:00,26.15
107,low,2022-03-04 15:43:00,26.09
108,close,2022-03-04 15:43:00,26.11
110,open,2022-03-04 15:42:00,26.06
111,high,2022-03-04 15:42:00,26.11
112,low,2022-03-04 15:42:00,26.05
113,close,2022-03-04 15:42:00,26.105
115,open,2022-03-04 15:41:00,26.06
116,high,2022-03-04 15:41:00,26.079
117,low,2022-03-04 15:41:00,26.06
118,close,2022-03-04 15:41:00,26.06
120,open,2022-03-04 15:40:00,26.06
121,high,2022-03-04 15:40:00,26.065
122,low,2022-03-04 15:40:00,26.06
123,close,2022-03-04 15:40:00,26.06
125,open,2022-03-04 15:39:00,26.06
126,high,2022-03-04 15:39:00,26.07
127,low,2022-03-04 15:39:00,26.06
128,close,2022-03-04 15:39:00,26.07
130,open,2022-03-04 15:38:00,26.09
131,high,2022-03-04 15:38:00,26.09
132,low,2022-03-04 15:38:00,26.065
133,close,2022-03-04 15:38:00,26.07
135,open,2022-03-04 15:37:00,26.08
136,high,2022-03-04 15:37:00,26.11
137,low,2022-03-04 15:37:00,26.05
138,close,2022-03-04 15:37:00,26.09
140,open,2022-03-04 15:36:00,26.08
141,high,2022-03-04 15:36:00,26.11
142,low,2022-03-04 15:36:00,26.075
143,close,2022-03-04 15:36:00,26.1
145,open,2022-03-04 15:35:00,26.06
146,high,2022-03-04 15:35:00,26.08
147,low,2022-03-04 15:35:00,26.05
148,close,2022-03-04 15:35:00,26.08
150,open,2022-03-04 15:34:00,26.055
151,high,2022-03-04 15:34:00,26.06
152,low,2022-03-04 15:34:00,26.05
153,close,2022-03-04 15:34:00,26.05
155,open,2022-03-04 15:33:00,26.05
156,high,2022-03-04 15:33:00,26.07
157,low,2022-03-04 15:33:00,26.04
158,close,2022-03-04 15:33:00,26.05
160,open,2022-03-04 15:32:00,26.0577
161,high,2022-03-04 15:32:00,26.06
162,low,2022-03-04 15:32:00,26.045
163,close,2022-03-04 15:32:00,26.05
165,open,2022-03-04 15:31:00,26.05
166,high,2022-03-04 15:31:00,26.06
167,low,2022-03-04 15:31:00,26.04
168,close,2022-03-04 15:31:00,26.06
170,open,2022-03-04 15:30:00,26.07
171,high,2022-03-04 15:30:00,26.07
172,low,2022-03-04 15:30:00,26.05
173,close,2022-03-04 15:30:00,26.06
175,open,2022-03-04 15:29:00,26.04
176,high,2022-03-04 15:29:00,26.12
177,low,2022-03-04 15:29:00,26.04
178,close,2022-03-04 15:29:00,26.06
180,open,2022-03-04 15:28:00,26.02
181,high,2022-03-04 15:28:00,26.039
182,low,2022-03-04 15:28:00,26.01
183,close,2022-03-04 15:28:00,26.038
185,open,2022-03-04 15:27:00,26.04
186,high,2022-03-04 15:27:00,26.04
187,low,2022-03-04 15:27:00,26.02
188,close,2022-03-04 15:27:00,26.02
190,open,2022-03-04 15:26:00,26.03
191,high,2022-03-04 15:26:00,26.04
192,low,2022-03-04 15:26:00,26.03
193,close,2022-03-04 15:26:00,26.03
195,open,2022-03-04 15:25:00,26.02
196,high,2022-03-04 15:25:00,26.02
197,low,2022-03-04 15:25:00,25.99
198,close,2022-03-04 15:25:00,26.02
200,open,2022-03-04 15:24:00,26.0
201,high,2022-03-04 15:24:00,26.03
202,low,2022-03-04 15:24:00,25.9905
203,close,2022-03-04 15:24:00,26.03
205,open,2022-03-04 15:23:00,25.99
206,high,2022-03-04 15:23:00,26.0
207,low,2022-03-04 15:23:00,25.98
208,close,2022-03-04 15:23:00,26.0
210,open,2022-03-04 15:22:00,26.0
211,high,2022-03-04 15:22:00,26.0
212,low,2022-03-04 15:22:00,25.99
213,close,2022-03-04 15:22:00,26.0
215,open,2022-03-04 15:21:00,25.98
216,high,2022-03-04 15:21:00,26.01
217,low,2022-03-04 15:21:00,25.97
218,close,2022-03-04 15:21:00,26.01
220,open,2022-03-04 15:19:00,26.0
221,high,2022-03-04 15:19:00,26.0
222,low,2022-03-04 15:19:00,25.99
223,close,2022-03-04 15:19:00,25.99
225,open,2022-03-04 15:18:00,25.9637
226,high,2022-03-04 15:18:00,25.99
227,low,2022-03-04 15:18:00,25.96
228,close,2022-03-04 15:18:00,25.99
230,open,2022-03-04 15:17:00,25.975
231,high,2022-03-04 15:17:00,25.99
232,low,2022-03-04 15:17:00,25.97
233,close,2022-03-04 15:17:00,25.98
235,open,2022-03-04 15:16:00,25.93
236,high,2022-03-04 15:16:00,25.99
237,low,2022-03-04 15:16:00,25.93
238,close,2022-03-04 15:16:00,25.99
240,open,2022-03-04 15:15:00,25.98
241,high,2022-03-04 15:15:00,25.98
242,low,2022-03-04 15:15:00,25.92
243,close,2022-03-04 15:15:00,25.94
245,open,2022-03-04 15:14:00,25.96
246,high,2022-03-04 15:14:00,25.98
247,low,2022-03-04 15:14:00,25.96
248,close,2022-03-04 15:14:00,25.98
250,open,2022-03-04 15:13:00,25.95
251,high,2022-03-04 15:13:00,25.96
252,low,2022-03-04 15:13:00,25.95
253,close,2022-03-04 15:13:00,25.96
255,open,2022-03-04 15:12:00,25.99
256,high,2022-03-04 15:12:00,26.0
257,low,2022-03-04 15:12:00,25.96
258,close,2022-03-04 15:12:00,25.97
260,open,2022-03-04 15:11:00,25.97
261,high,2022-03-04 15:11:00,25.99
262,low,2022-03-04 15:11:00,25.96
263,close,2022-03-04 15:11:00,25.975
265,open,2022-03-04 15:10:00,25.942
266,high,2022-03-04 15:10:00,25.97
267,low,2022-03-04 15:10:00,25.93
268,close,2022-03-04 15:10:00,25.97
270,open,2022-03-04 15:09:00,25.93
271,high,2022-03-04 15:09:00,25.95
272,low,2022-03-04 15:09:00,25.92
273,close,2022-03-04 15:09:00,25.95
275,open,2022-03-04 15:08:00,25.94
276,high,2022-03-04 15:08:00,25.94
277,low,2022-03-04 15:08:00,25.92
278,close,2022-03-04 15:08:00,25.925
280,open,2022-03-04 15:07:00,25.98
281,high,2022-03-04 15:07:00,26.0
282,low,2022-03-04 15:07:00,25.96
283,close,2022-03-04 15:07:00,25.97
285,open,2022-03-04 15:06:00,25.93
286,high,2022-03-04 15:06:00,25.97
287,low,2022-03-04 15:06:00,25.93
288,close,2022-03-04 15:06:00,25.97
290,open,2022-03-04 15:05:00,25.85
291,high,2022-03-04 15:05:00,25.93
292,low,2022-03-04 15:05:00,25.85
293,close,2022-03-04 15:05:00,25.93
295,open,2022-03-04 15:04:00,25.84
296,high,2022-03-04 15:04:00,25.84
297,low,2022-03-04 15:04:00,25.83
298,close,2022-03-04 15:04:00,25.84
300,open,2022-03-04 15:03:00,25.825
301,high,2022-03-04 15:03:00,25.84
302,low,2022-03-04 15:03:00,25.82
303,close,2022-03-04 15:03:00,25.82
305,open,2022-03-04 15:02:00,25.85
306,high,2022-03-04 15:02:00,25.86
307,low,2022-03-04 15:02:00,25.82
308,close,2022-03-04 15:02:00,25.825
310,open,2022-03-04 15:01:00,25.86
311,high,2022-03-04 15:01:00,25.86
312,low,2022-03-04 15:01:00,25.85
313,close,2022-03-04 15:01:00,25.85
315,open,2022-03-04 15:00:00,25.86
316,high,2022-03-04 15:00:00,25.86
317,low,2022-03-04 15:00:00,25.8485
318,close,2022-03-04 15:00:00,25.85
320,open,2022-03-04 14:59:00,25.87
321,high,2022-03-04 14:59:00,25.91
322,low,2022-03-04 14:59:00,25.87
323,close,2022-03-04 14:59:00,25.89
325,open,2022-03-04 14:58:00,25.92
326,high,2022-03-04 14:58:00,25.92
327,low,2022-03-04 14:58:00,25.88
328,close,2022-03-04 14:58:00,25.88
330,open,2022-03-04 14:57:00,25.93
331,high,2022-03-04 14:57:00,25.93
332,low,2022-03-04 14:57:00,25.91
333,close,2022-03-04 14:57:00,25.91
335,open,2022-03-04 14:56:00,25.924
336,high,2022-03-04 14:56:00,25.924
337,low,2022-03-04 14:56:00,25.9
338,close,2022-03-04 14:56:00,25.92
340,open,2022-03-04 14:55:00,25.9348
341,high,2022-03-04 14:55:00,25.95
342,low,2022-03-04 14:55:00,25.925
343,close,2022-03-04 14:55:00,25.93
345,open,2022-03-04 14:54:00,25.94
346,high,2022-03-04 14:54:00,25.94
347,low,2022-03-04 14:54:00,25.94
348,close,2022-03-04 14:54:00,25.94
350,open,2022-03-04 14:53:00,25.92
351,high,2022-03-04 14:53:00,25.93
352,low,2022-03-04 14:53:00,25.9161
353,close,2022-03-04 14:53:00,25.93
355,open,2022-03-04 14:52:00,25.93
356,high,2022-03-04 14:52:00,25.94
357,low,2022-03-04 14:52:00,25.84
358,close,2022-03-04 14:52:00,25.915
360,open,2022-03-04 14:51:00,25.95
361,high,2022-03-04 14:51:00,25.96
362,low,2022-03-04 14:51:00,25.92
363,close,2022-03-04 14:51:00,25.94
365,open,2022-03-04 14:50:00,25.965
366,high,2022-03-04 14:50:00,25.9666
367,low,2022-03-04 14:50:00,25.96
368,close,2022-03-04 14:50:00,25.96
370,open,2022-03-04 14:49:00,26.0
371,high,2022-03-04 14:49:00,26.0
372,low,2022-03-04 14:49:00,25.96
373,close,2022-03-04 14:49:00,25.965
375,open,2022-03-04 14:48:00,25.992
376,high,2022-03-04 14:48:00,26.01
377,low,2022-03-04 14:48:00,25.985
378,close,2022-03-04 14:48:00,26.0
380,open,2022-03-04 14:47:00,26.02
381,high,2022-03-04 14:47:00,26.02
382,low,2022-03-04 14:47:00,25.99
383,close,2022-03-04 14:47:00,25.99
385,open,2022-03-04 14:46:00,26.02
386,high,2022-03-04 14:46:00,26.02
387,low,2022-03-04 14:46:00,26.015
388,close,2022-03-04 14:46:00,26.02
390,open,2022-03-04 14:45:00,26.04
391,high,2022-03-04 14:45:00,26.04
392,low,2022-03-04 14:45:00,26.03
393,close,2022-03-04 14:45:00,26.04
395,open,2022-03-04 14:44:00,26.01
396,high,2022-03-04 14:44:00,26.01
397,low,2022-03-04 14:44:00,26.01
398,close,2022-03-04 14:44:00,26.01
400,open,2022-03-04 14:43:00,26.06
401,high,2022-03-04 14:43:00,26.06
402,low,2022-03-04 14:43:00,26.03
403,close,2022-03-04 14:43:00,26.03
405,open,2022-03-04 14:42:00,26.03
406,high,2022-03-04 14:42:00,26.06
407,low,2022-03-04 14:42:00,26.03
408,close,2022-03-04 14:42:00,26.05
410,open,2022-03-04 14:41:00,26.04
411,high,2022-03-04 14:41:00,26.04
412,low,2022-03-04 14:41:00,26.035
413,close,2022-03-04 14:41:00,26.04
415,open,2022-03-04 14:40:00,26.05
416,high,2022-03-04 14:40:00,26.05
417,low,2022-03-04 14:40:00,26.04
418,close,2022-03-04 14:40:00,26.04
420,open,2022-03-04 14:39:00,26.04
421,high,2022-03-04 14:39:00,26.05
422,low,2022-03-04 14:39:00,26.04
423,close,2022-03-04 14:39:00,26.05
425,open,2022-03-04 14:38:00,26.02
426,high,2022-03-04 14:38:00,26.02
427,low,2022-03-04 14:38:00,26.02
428,close,2022-03-04 14:38:00,26.02
430,open,2022-03-04 14:37:00,26.04
431,high,2022-03-04 14:37:00,26.05
432,low,2022-03-04 14:37:00,26.03
433,close,2022-03-04 14:37:00,26.03
435,open,2022-03-04 14:34:00,26.0529
436,high,2022-03-04 14:34:00,26.06
437,low,2022-03-04 14:34:00,26.03
438,close,2022-03-04 14:34:00,26.03
440,open,2022-03-04 14:33:00,26.068
441,high,2022-03-04 14:33:00,26.07
442,low,2022-03-04 14:33:00,26.06
443,close,2022-03-04 14:33:00,26.07
445,open,2022-03-04 14:32:00,26.03
446,high,2022-03-04 14:32:00,26.07
447,low,2022-03-04 14:32:00,26.03
448,close,2022-03-04 14:32:00,26.07
450,open,2022-03-04 14:31:00,26.015
451,high,2022-03-04 14:31:00,26.02
452,low,2022-03-04 14:31:00,26.0
453,close,2022-03-04 14:31:00,26.02
455,open,2022-03-04 14:30:00,26.02
456,high,2022-03-04 14:30:00,26.03
457,low,2022-03-04 14:30:00,26.01
458,close,2022-03-04 14:30:00,26.02
460,open,2022-03-04 14:29:00,26.04
461,high,2022-03-04 14:29:00,26.04
462,low,2022-03-04 14:29:00,26.03
463,close,2022-03-04 14:29:00,26.04
465,open,2022-03-04 14:28:00,26.03
466,high,2022-03-04 14:28:00,26.04
467,low,2022-03-04 14:28:00,26.02
468,close,2022-03-04 14:28:00,26.04
470,open,2022-03-04 14:26:00,26.0407
471,high,2022-03-04 14:26:00,26.06
472,low,2022-03-04 14:26:00,26.0407
473,close,2022-03-04 14:26:00,26.06
475,open,2022-03-04 14:25:00,26.05
476,high,2022-03-04 14:25:00,26.05
477,low,2022-03-04 14:25:00,26.04
478,close,2022-03-04 14:25:00,26.04
480,open,2022-03-04 14:24:00,26.04
481,high,2022-03-04 14:24:00,26.055
482,low,2022-03-04 14:24:00,26.04
483,close,2022-03-04 14:24:00,26.055
485,open,2022-03-04 14:23:00,26.035
486,high,2022-03-04 14:23:00,26.05
487,low,2022-03-04 14:23:00,26.03
488,close,2022-03-04 14:23:00,26.03
490,open,2022-03-04 14:22:00,26.03
491,high,2022-03-04 14:22:00,26.03
492,low,2022-03-04 14:22:00,26.01
493,close,2022-03-04 14:22:00,26.03
495,open,2022-03-04 14:20:00,26.02
496,high,2022-03-04 14:20:00,26.02
497,low,2022-03-04 14:20:00,26.02
498,close,2022-03-04 14:20:00,26.02
